                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4233,                 3.2156,                 1.4652,                 1.3671,                 3.4568,                 1.3789,                0.01945,                0.47519,                0.04712,                0.02873,                 1.3613,                 3.2859,                 1.3203,                 1.2593,                 3.6084,                 1.2631,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.3141,                 2.6707,                 1.3557,                 1.2115,                  2.893,                 1.2411,                0.02059,                0.55037,                0.09716,                0.05839,                 1.3452,                 3.1888,                 1.2675,                 1.2185,                 3.4715,                 1.2082,              0.0002418,              0.0002418,              0.0002418
                      3,                 1.3211,                 2.1931,                 1.3254,                 1.1914,                 2.4013,                  1.185,                0.02312,                0.56311,                0.11191,                0.06913,                 1.3013,                 3.0502,                 1.2309,                 1.1758,                 3.3268,                 1.1456,              0.0003581,              0.0003581,              0.0003581
                      4,                  1.317,                 1.7268,                 1.3192,                 1.2166,                 2.1326,                 1.1933,                0.01973,                0.50378,                 0.1188,                0.05734,                  1.398,                 3.0315,                 1.3764,                 1.2463,                 3.3708,                  1.229,             0.00046561,             0.00046561,             0.00046561
                      5,                 1.2822,                 1.4362,                 1.2869,                 1.2114,                 1.9624,                 1.1732,                 0.0206,                0.53195,                0.06347,                0.03667,                 1.3486,                  2.757,                 1.3324,                 1.1774,                 3.3294,                 1.1909,             0.00056431,             0.00056431,             0.00056431
                      6,                 1.3233,                 1.3202,                 1.3006,                 1.2794,                 1.9246,                 1.1989,                0.02089,                0.52185,                0.10732,                0.04873,                 1.4717,                 2.9621,                 1.5215,                 1.2869,                 3.4697,                 1.3662,             0.00065421,             0.00065421,             0.00065421
                      7,                 1.3143,                 1.2629,                 1.2991,                  1.278,                 1.8678,                  1.202,                0.04181,                0.72589,                0.24342,                0.12931,                 1.3715,                 2.5703,                 1.3409,                  1.237,                  3.169,                 1.1802,             0.00073531,             0.00073531,             0.00073531
                      8,                  1.244,                 1.1834,                 1.2541,                 1.2487,                  1.764,                 1.1693,                0.04516,                0.77066,                0.28436,                0.15987,                 1.3294,                 2.4234,                 1.3208,                 1.2117,                 3.0458,                 1.1824,             0.00080761,             0.00080761,             0.00080761
                      9,                 1.2479,                 1.1295,                 1.2765,                 1.2309,                  1.743,                 1.1942,                0.05659,                0.82315,                0.36219,                0.21209,                 1.3236,                 2.2575,                 1.2994,                 1.2114,                 2.8752,                 1.1797,             0.00087111,             0.00087111,             0.00087111
                     10,                 1.1822,                 1.0904,                 1.2374,                 1.2016,                 1.6683,                 1.1735,                0.18001,                0.81879,                0.43833,                0.25539,                 1.2871,                 2.1211,                  1.275,                 1.1954,                 2.6933,                 1.1601,              0.0009258,              0.0009258,              0.0009258
                     11,                 1.1861,                 1.1007,                 1.2448,                 1.1845,                 1.6569,                 1.1724,                0.72625,                  0.253,                0.46288,                0.27578,                 1.3011,                 1.8174,                 1.2945,                 1.2221,                 2.4664,                 1.1896,             0.00097169,             0.00097169,             0.00097169
                     12,                 1.2012,                 1.0939,                 1.2658,                 1.2096,                 1.6459,                 1.1952,                0.63519,                0.27097,                0.45682,                0.27458,                 1.2737,                 1.7791,                 1.2854,                 1.2131,                 2.4036,                 1.1877,              0.0010088,              0.0010088,              0.0010088
                     13,                 1.1928,                 1.0733,                 1.2529,                 1.1983,                  1.564,                 1.1786,                 0.7083,                0.36392,                0.50857,                0.30225,                 1.2661,                 1.6904,                 1.3155,                 1.1915,                 2.1282,                 1.2408,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1666,                 1.0338,                 1.2209,                 1.2061,                 1.4875,                 1.1651,                0.61714,                0.43696,                0.50833,                0.28902,                 1.3321,                 1.5343,                 1.3703,                 1.2927,                 2.0339,                 1.2782,              0.0010069,              0.0010069,              0.0010069
                     15,                  1.156,                 1.0579,                 1.2227,                 1.1899,                 1.4855,                  1.156,                0.57103,                0.47927,                0.51037,                0.29863,                 1.3074,                 1.3777,                 1.3736,                  1.279,                  1.791,                 1.2796,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.1549,                  1.016,                 1.2154,                 1.1896,                  1.464,                 1.1625,                0.53528,                0.49994,                0.50793,                0.29931,                 1.2776,                 1.2906,                 1.3209,                 1.2517,                 1.7864,                 1.2132,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.1312,                  1.029,                 1.2104,                 1.1836,                 1.4689,                 1.1509,                0.51864,                0.48756,                0.49273,                0.27788,                  1.301,                 1.3616,                  1.279,                 1.2642,                 1.7384,                 1.1992,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.1272,                 0.9921,                 1.2013,                 1.1617,                 1.4171,                 1.1562,                0.53855,                 0.5552,                0.54888,                0.32273,                  1.218,                 1.1475,                 1.2446,                 1.2118,                  1.587,                 1.1871,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.1011,                  1.001,                 1.2116,                 1.1473,                 1.4542,                 1.1645,                0.59704,                0.56764,                0.58621,                0.35022,                  1.236,                 1.0922,                 1.2471,                  1.224,                 1.4767,                 1.1818,             0.00073181,             0.00073181,             0.00073181
